id|dxcc_id|code|subdivision
1|108|ES|Espirito Santo
2|108|GO|Goias
3|108|SC|Santa Catarina
4|108|SE|Sergipe
5|108|AL|Alagoas
6|108|AM|Amazonas
7|108|TO|Tocantins
8|108|AP|Amapa
9|108|PB|Paraiba
10|108|MA|Maranhao
11|108|RN|Rio Grande do Norte
12|108|PI|Piaui
13|108|DF|Oietrito Federal (Brasila)
14|108|CE|Ceara
15|108|AC|Acre
16|108|MS|Mato Grosso do Sul
17|108|RR|Roraima
18|108|RO|Rondonia
19|108|RJ|Rio de Janeiro
20|108|SP|Sao Paulo
21|108|RS|Rio Grande do Sul
22|108|MG|Minas Gerais
23|108|PR|Parana
24|108|BA|Bahia
25|108|PE|Pernambuco
26|108|PA|Para
27|108|MT|Mato Grosso
