pas_15id|dxcc_code|code|subdivision|oblast|before_date|referred_to_as
1|15|UO|Ust’-Ordynsky Autonomous Okrug|174|2008-01-01|
2|15|AB|Aginsky Buryatsky Autonomous Okrug|175|2008-03-01|
3|15|CB|Chelyabinsk (Chelyabinskaya oblast)|165||
4|15|SV|Sverdlovskaya oblast|154||
5|15|PM|Perm` (Permskaya oblast)|140|2005-12-01|
6|15|PM|Permskaya Kraj|140|2005-12-01|
7|15|KP|Komi-Permyatsky Autonomous Okrug|141|2005-12-01|
8|15|TO|Tomsk (Tomskaya oblast)|158||
9|15|HM|Khanty-Mansyisky Autonomous Okrug|162||
10|15|YN|Yamalo-Nenetsky Autonomous Okrug|163||
11|15|TN|Tyumen' (Tyumenskaya oblast)|161||
12|15|OM|Omsk (Omskaya oblast)|146||
13|15|NS|Novosibirsk (Novosibirskaya oblast)|145||
14|15|KN|Kurgan (Kurganskaya oblast)|134||
15|15|OB|Orenburg (Orenburgskaya oblast)|167||
16|15|KE|Kemerovo (Kemerovskaya oblast)|130||
17|15|BA|Republic of Bashkortostan|84||
18|15|KO|Republic of Komi|90||
19|15|AL|Altaysky Kraj|99||
20|15|GA|Republic Gorny Altay|100||
21|15|KK|Krasnoyarsk (Krasnoyarsk Kraj)|103||
22|15|TM|Taymyr Autonomous Okrug|105|2007-01-01|
23|15|HK|Khabarovsk (Khabarovsky Kraj)|110||
24|15|EA|Yevreyskaya Autonomous Oblast|111||
25|15|SL|Sakhalin (Sakhalinskaya oblast)|153||
26|15|EV|Evenkiysky Autonomous Okrug|106|2007-01-01|
27|15|MG|Magadan (Magadanskaya oblast)|138||
28|15|AM|Amurskaya oblast|112||
29|15|CK|Chukotka Autonomous Okrug|139||
30|15|PK|Primorsky Kraj|107||
31|15|BU|Republic of Buryatia|85||
32|15|YA|Sakha (Yakut) Republic|98||
33|15|IR|Irkutsk (Irkutskaya oblast)|124||
34|15|CT|Zabaykalsky Kraj|166|2008-03-01|Chita (Chitinskaya oblast)
35|15|HA|Republic of Khakassia|104||
36|15|KY|Koryaksky Autonomous Okrug|129|2007-01-01|
37|15|TU|Republic of Tuva|159||
38|15|KT|Kamchatka (Kamchatskaya oblast)|128||
