pas224_subdivision_id|pas224_region_id|code|subdivision
1|1|100|Somero
2|1|102|Alastaro
3|1|103|Askainen
4|1|104|Aura
5|1|105|Dragsfjard
6|1|106|Eura
7|1|107|Eurajoki
8|1|108|Halikko
9|1|109|Harjavalta
10|1|110|Honkajoki
11|1|111|Houtskari
12|1|112|Huittinen
13|1|115|Inio
14|1|116|Jaijarvi
15|1|117|Kaarina
16|1|119|Kankaanpaa
17|1|120|Karinainen
18|1|122|Karvia
19|1|123|Aetsa
20|1|124|Kemio
21|1|126|Kiikala
22|1|128|Kiikoinen
23|1|129|Kisko
24|1|130|Kiukainen
25|1|131|Kodisjoki
26|1|132|Kokemaki
27|1|133|Korppoo
28|1|134|Koski tl
29|1|135|Kullaa
30|1|136|Kustavi
31|1|137|Kuusjoki
32|1|138|Koylio
33|1|139|Laitila
34|1|140|Lappi
35|1|141|Lavia
36|1|142|Lemu
37|1|143|Lieto
38|1|144|Loimaa
39|1|145|Loimaan kunta
40|1|147|Luvia
41|1|148|Marttila
42|1|149|Masku
43|1|150|Mellila
44|1|151|Merikarvia
45|1|152|Merimasku
46|1|154|Mietoinen
47|1|156|Muurla
48|1|157|Mynamaki
49|1|158|Naantali
50|1|159|Nakkila
51|1|160|Nauvo
52|1|161|Noormarkku
53|1|162|Nousiainen
54|1|163|Oripaa
55|1|164|Paimio
56|1|165|Parainen
57|1|167|Pernio
58|1|168|Pertteli
59|1|169|Piikkio
60|1|170|Pomarkku
61|1|171|Pori
62|1|172|Punkalaidun
63|1|173|Pyharanta
64|1|174|Poytya
65|1|175|Raisio
66|1|176|Rauma
67|1|178|Rusko
68|1|179|Rymattyla
69|1|180|Salo
70|1|181|Sauvo
71|1|182|Siikainen
72|1|183|Suodenniemi
73|1|184|Suomusjarvi
74|1|185|Sakyla
75|1|186|Sarkisalo
76|1|187|Taivassalo
77|1|188|Tarvasjoki
78|1|189|Turku
79|1|190|Ulvila
80|1|191|Uusikaupunki
81|1|192|Vahto
82|1|193|Vammala
83|1|194|Vampula
84|1|195|Vehmaa
85|1|196|Velkua
86|1|198|Vastanfjard
87|1|199|Ylane
88|2|201|Artjarvi
89|2|202|Askola
90|2|204|Espoo
91|2|205|Hanko
92|2|206|Helsinki
93|2|207|Hyvinkaa
94|2|208|Inkoo
95|2|209|Jarvenpaa
96|2|210|Karjaa
97|2|211|Karjalohja
98|2|212|Karkkila
99|2|213|Kauniainen
100|2|214|Kerava
101|2|215|Kirkkonummi
102|2|216|Lapinjarvi
103|2|217|Liljendal
104|2|218|Lohjan kaupunki
105|2|220|Loviisa
106|2|221|Myrskyla
107|2|222|Mantsala
108|2|223|Nummi-Pusula
109|2|224|Nurmijarvi
110|2|225|Orimattila
111|2|226|Pernaja
112|2|227|Pohja
113|2|228|Pornainen
114|2|229|Porvoo
115|2|231|Pukkila
116|2|233|Ruotsinpyhtaa
117|2|234|Sammatti
118|2|235|Sipoo
119|2|236|Siuntio
120|2|238|Tammisaari
121|2|241|Tuusula
122|2|242|Vantaa
123|2|243|Vihti
124|3|301|Asikkala
125|3|303|Forssa
126|3|304|Hattula
127|3|305|Hauho
128|3|306|Hausjarvi
129|3|307|Hollola
130|3|308|Humppila
131|3|309|Hameenlinna
132|3|310|Janakkala
133|3|311|Jokioinen
134|3|312|Juupajoki
135|3|313|Kalvola
136|3|314|Kangasala
137|3|315|Hameenkoski
138|3|316|Kuhmalahti
139|3|318|Kuru
140|3|319|Kylmakoski
141|3|320|Karkola
142|3|321|Lahti
143|3|322|Lammi
144|3|323|Lempaala
145|3|324|Loppi
146|3|325|Luopioinen
147|3|326|Langelmaki
148|3|327|Mantta
149|3|328|Nastola
150|3|329|Nokia
151|3|330|Orivesi
152|3|331|Padasjoki
153|3|332|Pirkkala
154|3|333|Palkane
155|3|334|Renko
156|3|335|Riihimaki
157|3|336|Ruovesi
158|3|337|Sahalahti
159|3|340|Tammela
160|3|341|Tampere
161|3|342|Toijala
162|3|344|Tuulos
163|3|345|Urjala
164|3|346|Valkeakoski
165|3|347|Vesilahti
166|3|348|Viiala
167|3|349|Vilppula
168|3|350|Virrat
169|3|351|Ylojarvi
170|3|352|Ypaja
171|3|353|Hameenkyra
172|3|354|Ikaalinen
173|3|355|Kihnio
174|3|356|Mouhijarvi
175|3|357|Parkano
176|3|358|Viljakkala
177|4|402|Enonkoski
178|4|403|Hartola
179|4|404|Haukivuori
180|4|405|Heinola
181|4|407|Heinavesi
182|4|408|Hirvensalmi
183|4|409|Joroinen
184|4|410|Juva
185|4|411|Jappila
186|4|412|Kangaslampi
187|4|413|Kangasniemi
188|4|414|Kerimaki
189|4|415|Mikkeli
190|4|417|Mantyharju
191|4|418|Pertunmaa
192|4|419|Pieksamaki
193|4|420|Pieksanmaa
194|4|421|Punkaharju
195|4|422|Puumala
196|4|423|Rantasalmi
197|4|424|Ristiina
198|4|425|Savonlinna
199|4|426|Savonranta
200|4|427|Sulkava
201|4|428|Sysma
202|5|502|Elimaki
203|5|503|Hamina
204|5|504|Iitti
205|5|505|Imatra
206|5|506|Jaala
207|5|507|Joutseno
208|5|509|Kotka
209|5|510|Kouvola
210|5|511|Kuusankoski
211|5|513|Lappeenranta
212|5|514|Lemi
213|5|515|Luumaki
214|5|516|Miehikkala
215|5|518|Parikkala
216|5|519|Pyhtaa
217|5|520|Rautjarvi
218|5|521|Ruokolahti
219|5|522|Saari
220|5|523|Savitaipale
221|5|525|Suomenniemi
222|5|526|Taipalsaari
223|5|527|Uukuniemi
224|5|528|Valkeala
225|5|530|Virolahti
226|5|531|Ylamaa
227|5|532|Anjalankoski
228|6|601|Alaharma
229|6|602|Alajarvi
230|6|603|Alavus
231|6|604|Evijarvi
232|6|605|Halsua
233|6|606|Hankasalmi
234|6|607|Himanka
235|6|608|Ilmajoki
236|6|609|Isojoki
237|6|610|Isokyro
238|6|611|Jalasjarvi
239|6|612|Joutsa
240|6|613|Jurva
241|6|614|Jyvaskyla
242|6|615|Jyvaskylan mlk
243|6|616|Jamsa
244|6|617|Jamsankoski
245|6|619|Kannonkoski
246|6|620|Kannus
247|6|621|Karijoki
248|6|622|Karstula
249|6|623|Kaskinen
250|6|624|Kauhajoki
251|6|625|Kauhava
252|6|626|Kaustinen
253|6|627|Keuruu
254|6|628|Kinnula
255|6|629|Kivijarvi
256|6|630|Kokkola
257|6|632|Konnevesi
258|6|633|Korpilahti
259|6|634|Korsnas
260|6|635|Kortesjarvi
261|6|636|Kristiinankaupunki
262|6|637|Kruunupyy
263|6|638|Kuhmoinen
264|6|639|Kuortane
265|6|640|Kurikka
266|6|641|Kyyjarvi
267|6|642|Kalvia
268|6|643|Laihia
269|6|644|Lappajarvi
270|6|645|Lapua
271|6|646|Laukaa
272|6|647|Lehtimaki
273|6|648|Leivonmaki
274|6|649|Lestijarvi
275|6|650|Lohtaja
276|6|651|Luhanka
277|6|652|Luoto
278|6|653|Maalahti
279|6|654|Maksamaa
280|6|655|Multia
281|6|656|Mustasaari
282|6|657|Muurame
283|6|658|Nurmo
284|6|659|Narpio
285|6|660|Oravainen
286|6|661|Perho
287|6|662|Peraseinajoki
288|6|663|Petajavesi
289|6|664|Pietarsaari
290|6|665|Pedersore
291|6|666|Pihtipudas
292|6|668|Pylkonmaki
293|6|669|Saarijarvi
294|6|670|Seinajoki
295|6|671|Soini
296|6|672|Sumiainen
297|6|673|Suolahti
298|6|675|Teuva
299|6|676|Toholampi
300|6|677|Toivakka
301|6|678|Toysa
302|6|679|Ullava
303|6|680|Uurainen
304|6|681|Uusikaarlepyy
305|6|682|Vaasa
306|6|683|Veteli
307|6|684|Viitasaari
308|6|685|Vimpeli
309|6|686|Vahakyro
310|6|687|Voyri
311|6|688|Yliharma
312|6|689|Ylistaro
313|6|690|ahtari
314|6|692|aanekoski
315|7|701|Eno
316|7|702|Iisalmi
317|7|703|Ilomantsi
318|7|704|Joensuu
319|7|705|Juankoski
320|7|706|Juuka
321|7|707|Kaavi
322|7|708|Karttula
323|7|709|Keitele
324|7|710|Kesalahti
325|7|711|Kiihtelysvaara
326|7|712|Kitee
327|7|713|Kiuruvesi
328|7|714|Kontiolahti
329|7|715|Kuopio
330|7|716|Lapinlahti
331|7|717|Leppavirta
332|7|718|Lieksa
333|7|719|Liperi
334|7|720|Maaninka
335|7|721|Nilsia
336|7|722|Nurmes
337|7|723|Outokumpu
338|7|724|Pielavesi
339|7|725|Polvijarvi
340|7|726|Pyhaselka
341|7|727|Rautalampi
342|7|728|Rautavaara
343|7|729|Raakkyla
344|7|730|Siilinjarvi
345|7|731|Sonkajarvi
346|7|732|Suonenjoki
347|7|733|Tervo
348|7|734|Tohmajarvi
349|7|735|Tuupovaara
350|7|736|Tuusniemi
351|7|737|Valtimo
352|7|738|Varkaus
353|7|739|Varpaisjarvi
354|7|740|Vehmersalmi
355|7|741|Vesanto
356|7|742|Vierema
357|7|743|Vartsila
358|8|801|Alavieska
359|8|802|Haapajarvi
360|8|803|Haapavesi
361|8|804|Hailuoto
362|8|805|Haukipudas
363|8|806|Hyrynsalmi
364|8|807|Ii
365|8|808|Kajaani
366|8|810|Kalajoki
367|8|811|Kempele
368|8|812|Kestila
369|8|813|Kiiminki
370|8|814|Kuhmo
371|8|815|Kuivaniemi
372|8|816|Kuusamo
373|8|817|Karsamaki
374|8|818|Liminka
375|8|819|Lumijoki
376|8|820|Merijarvi
377|8|821|Muhos
378|8|822|Nivala
379|8|823|Oulainen
380|8|824|Oulu
381|8|825|Oulunsalo
382|8|826|Paltamo
383|8|827|Pattijoki
