pas291_id|dxcc_code|code|subdivision
1|291|CT|Connecticut
2|291|ME|Maine
3|291|MA|Massachusetts
4|291|NH|New Hampshire
5|291|RI|Rhode Island
6|291|VT|Vermont
7|291|NJ|New Jersey
8|291|NY|New York
9|291|DE|Delaware
10|291|DC|District of Columbia
11|291|MD|Maryland
12|291|PA|Pennsylvania
13|291|AL|Alabama
14|291|FL|Florida
15|291|GA|Georgia
16|291|KY|Kentucky
17|291|NC|North Carolina
18|291|SC|South Carolina
19|291|TN|Tennessee
20|291|VA|Virginia
21|291|AR|Arkansas
22|291|LA|Louisiana
23|291|MS|Mississippi
24|291|NM|New Mexico
25|291|OK|Oklahoma
26|291|TX|Texas
27|291|CA|California
28|291|AZ|Arizona
29|291|ID|Idaho
30|291|MT|Montana
31|291|NV|Nevada
32|291|OR|Oregon
33|291|UT|Utah
34|291|WA|Washington
35|291|WY|Wyoming
36|291|MI|Michigan
37|291|OH|Ohio
38|291|WV|West Virginia
39|291|IL|Illinois
40|291|IN|Indiana
41|291|WI|Wisconsin
42|291|CO|Colorado
43|291|IA|Iowa
44|291|KS|Kansas
45|291|MN|Minnesota
46|291|MO|Missouri
47|291|NE|Nebraska
48|291|ND|North Dakota
49|291|SD|South Dakota
