pas318|dxcc_code|code|subdivision
1|318|AH|Anhui
2|318|BJ|Beijing
3|318|CQ|Chongqing
4|318|FJ|Fujian
5|318|GD|Guangdong
6|318|GS|Gansu
7|318|GX|Guangxi
8|318|GZ|Guizhou
9|318|HA|Henan
10|318|HB|Hubei
11|318|HE|Hebei
12|318|HI|Hainan
13|318|HL|Heilongjiang
14|318|HN|Hunan
15|318|JL|Jilin
16|318|JS|Jiangsu
17|318|JX|Jiangxi
18|318|LN|Liaoning
19|318|NM|Neimenggu
20|318|NX|Ningxia
21|318|QH|Qinghai
22|318|SC|Sichuan
23|318|SD|Shandong
24|318|SH|Shanghai
25|318|SN|Shaanxi
26|318|SX|Shanxi
27|318|TJ|Tianjin
28|318|XJ|Xinjiang
29|318|XZ|Xizang
30|318|YN|Yunnan
31|318|ZJ|Zhejiang
