pas339_id|pas339_region_id|code|subdivision
1|1|12|Chiba
2|1|16|Gunma
3|1|14|Ibaraki
4|1|11|Kanagawa
5|1|13|Saitama
6|1|15|Tochigi
7|1|10|Tokyo
8|1|17|Yamanashi
9|2|20|Aichi
10|2|19|Gifu
11|2|21|Mie
12|2|18|Shizuoka
13|3|27|Hyogo
14|3|22|Kyoto
15|3|24|Nara
16|3|25|Osaka
17|3|23|Shiga
18|3|26|Wakayama
19|4|35|Hiroshima
20|4|31|Okayama
21|4|32|Shimane
22|4|34|Tottori
23|4|33|Yamaguchi
24|5|38|Ehime
25|5|36|Kagawa
26|5|39|Kochi
27|5|37|Tokushima
28|6|40|Fukuoka
29|6|46|Kagoshima
30|6|43|Kumamoto
31|6|45|Miyazaki
32|6|42|Nagasaki
33|6|44|Oita
34|6|47|Okinawa
35|6|41|Saga
36|7|4|Akita
37|7|2|Aomori
38|7|7|Fukushima
39|7|3|Iwate
40|7|6|Miyagi
41|7|5|Yamagata
42|8|1|Hokkaido
43|9|29|Fukui
44|9|30|Ishikawa
45|9|28|Toyama
46|10|9|Nagano
47|10|8|Niigata
