id|dxcc_id|code|subdivision|oblast|cq_zone|itu_zone
1|54|SP|City of St. Petersburg|169|16|29
2|54|LO|Leningradskaya oblast|136|16|29
3|54|KL|Republic of Karelia|88|16|19
4|54|AR|Arkhangelsk (Arkhangelskaya oblast)|113|16|19
5|54|NO|Nenetsky Autonomous Okrug|114|16|20
6|54|VO|Vologda (Vologodskaya oblast)|120|16|29
7|54|NV|Novgorodskaya oblast|144|16|29
8|54|PS|Pskov (Pskovskaya oblast)|149|16|29
9|54|MU|Murmansk (Murmanskaya oblast)|143|16|19
10|54|MA|City of Moscow|170|16|29
11|54|MO|Moscowskaya oblast|142|16|29
12|54|OR|Oryel (Orlovskaya oblast)|147|16|29
13|54|LP|Lipetsk (Lipetskaya oblast)|137|16|29
14|54|TV|Tver' (Tverskaya oblast)|126|16|29
15|54|SM|Smolensk (Smolenskaya oblast)|155|16|29
16|54|YR|Yaroslavl (Yaroslavskaya oblast)|168|16|29
17|54|KS|Kostroma (Kostromskaya oblast)|132|16|29
18|54|TL|Tula (Tul'skaya oblast)|160|16|29
19|54|VR|Voronezh (Voronezhskaya oblast)|121|16|29
20|54|TB|Tambov (Tambovskaya oblast)|157|16|29
21|54|RA|Ryazan' (Ryazanskaya oblast)|151|16|29
22|54|NN|Nizhni Novgorod (Nizhegorodskaya oblast)|122|16|29
23|54|IV|Ivanovo (Ivanovskaya oblast)|123|16|29
24|54|VL|Vladimir (Vladimirskaya oblast)|119|16|29
25|54|KU|Kursk (Kurskaya oblast)|135|16|29
26|54|KG|Kaluga (Kaluzhskaya oblast)|127|16|29
27|54|BR|Bryansk (Bryanskaya oblast)|118|16|29
28|54|BO|Belgorod (Belgorodskaya oblast)|117|16|29
29|54|VG|Volgograd (Volgogradskaya oblast)|156|16|29
30|54|SA|Saratov (Saratovskaya oblast)|152|16|29
31|54|PE|Penza (Penzenskaya oblast)|148|16|29
32|54|SR|Samara (Samarskaya oblast)|133|16|30
33|54|UL|Ulyanovsk (Ulyanovskaya oblast)|164|16|29
34|54|KI|Kirov (Kirovskaya oblast)|131|16|30
35|54|TA|Republic of Tataria|94|16|30
36|54|MR|Republic of Marij-El|91|16|29
37|54|MD|Republic of Mordovia|92|16|29
38|54|UD|Republic of Udmurtia|95|16|30
39|54|CU|Republic of Chuvashia|97|16|29
40|54|KR|Krasnodar (Krasnodarsky Kraj)|101|16|29
41|54|KC|Republic of Karachaevo-Cherkessia|109|16|29
42|54|ST|Stavropol' (Stavropolsky Kraj)|108|16|29
43|54|KM|Republic of Kalmykia|89|16|29
44|54|SO|Republic of Northern Ossetia|93|16|29
45|54|RO|Rostov-on-Don (Rostovskaya oblast)|150|16|29
46|54|CN|Republic Chechnya|96|16|29
47|54|IN|Republic of Ingushetia|96|16|29
48|54|AO|Astrakhan' (Astrakhanskaya oblast)|115|16|29
49|54|DA|Republic of Daghestan|86|16|29
50|54|KB|Republic of Kabardino-Balkaria|87|16|29
51|54|AD|Republic of Adygeya|102|16|29
