id|pas_503_region_id|code|subdivision
1|1|APA|Praha 1
2|1|APB|Praha 2
3|1|APC|Praha 3
4|1|APD|Praha 4
5|1|APE|Praha 5
6|1|APF|Praha 6
7|1|APG|Praha 7
8|1|APH|Praha 8
9|1|API|Praha 9
10|1|APJ|Praha 10
11|2|BBN|Benesov
12|2|BBE|Beroun
13|2|BKD|Kladno
14|2|BKO|Kolin
15|2|BKH|Kutna Hora
16|2|BME|Melnik
17|2|BMB|Mlada Boleslav
18|2|BNY|Nymburk
19|2|BPZ|Praha zapad
20|2|BPV|Praha vychod
21|2|BPB|Pribram
22|2|BRA|Rakovnik
23|3|CBU|Ceske Budejovice
24|3|CCK|Cesky Krumlov
25|3|CJH|Jindrichuv Hradec
26|3|CPE|Pelhrimov
27|3|CPI|Pisek
28|3|CPR|Prachatice
29|3|CST|Strakonice
30|3|CTA|Tabor
31|4|DDO|Domazlice
32|4|DCH|Cheb
33|4|DKV|Karlovy Vary
34|4|DKL|Klatovy
35|4|DPM|Plzen mesto
36|4|DPJ|Plzen jih
37|4|DPS|Plzen sever
38|4|DRO|Rokycany
39|4|DSO|Sokolov
40|4|DTA|Tachov
41|5|ECL|Ceska Lipa
42|5|EDE|Decin
43|5|ECH|Chomutov
44|5|EJA|Jablonec n. Nisou
45|5|ELI|Liberec
46|5|ELT|Litomerice
47|5|ELO|Louny
48|5|EMO|Most
49|5|ETE|Teplice
50|5|EUL|Usti nad Labem
51|6|FHB|Havlickuv Brod
52|6|FHK|Hradec Kralove
53|6|FCR|Chrudim
54|6|FJI|Jicin
55|6|FNA|Nachod
56|6|FPA|Pardubice
57|6|FRK|Rychn n. Kneznou
58|6|FSE|Semily
59|6|FSV|Svitavy
60|6|FTR|Trutnov
61|6|FUO|Usti nad Orlici
62|7|GBL|Blansko
63|7|GBM|Brno mesto
64|7|GBV|Brno venkov
65|7|GBR|Breclav
66|7|GHO|Hodonin
67|7|GJI|Jihlava
68|7|GKR|Kromeriz
69|7|GPR|Prostejov
70|7|GTR|Trebic
71|7|GUH|Uherske Hradiste
72|7|GVY|Vyskov
73|7|GZL|Zlin
74|7|GZN|Znojmo
75|7|GZS|Zdar nad Sazavou
76|8|HBR|Bruntal
77|8|HFM|Frydek-Mistek
78|8|HJE|Jesenik
79|8|HKA|Karvina
80|8|HNJ|Novy Jicin
81|8|HOL|Olomouc
82|8|HOP|Opava
83|8|HOS|Ostrava
84|8|HPR|Prerov
85|8|HSU|Sumperk
86|8|HVS|Vsetin
