sas_summary_id|dxcc_code|pas_subdivision_type_id|has_oblast|has_sas|sas_subdivision_type_id
1|1|17|0|0|
2|5|10|0|0|
3|6|21|0|1|1
4|15|22|1|1|2
5|21|17|0|0|
6|27|23|0|0|
7|29|17|0|0|
8|32|17|0|0|
9|50|21|0|0|
10|52|12|0|0|
11|54|14|1|1|2
12|61|14|1|1|2
13|70|17|0|0|
14|74|6|0|0|
15|86|6|0|0|
16|100|17|0|0|
17|104|6|0|0|
18|108|21|0|0|
19|110|21|0|1|1
20|112|20|0|0|
21|126|14|1|1|2
22|130|14|1|0|
23|132|6|0|0|
24|137|17|0|1|2
25|138|21|0|0|
26|144|6|0|0|
27|147|21|0|0|
28|148|21|0|0|
29|149|8|0|0|
30|150|21|0|0|
31|151|14|1|1|2
32|153|21|0|0|
33|163|17|0|0|
34|170|20|0|1|1
35|177|16|0|1|3
36|179|19|0|0|
37|192|16|0|1|3
38|206|7|0|0|
39|209|17|0|0|
40|212|14|0|0|
41|214|6|0|0|
42|221|1|0|0|
43|224|10|0|0|
44|225|17|0|0|
45|227|6|0|0|
46|230|2|0|0|
47|239|13|0|0|
48|245|5|0|0|
49|248|17|0|0|
50|256|8|0|0|
51|263|17|0|0|
52|269|24|0|0|
53|272|8|0|0|
54|275|9|0|0|
55|281|17|0|0|
56|284|11|0|0|
57|287|3|0|0|
58|288|14|0|1|2
59|291|21|0|1|1
60|318|17|0|0|
61|327|18|0|0|
62|339|16|0|1|3
63|375|17|0|0|
64|386|5|0|0|
65|387|4|0|0|
66|497|25|0|0|
67|503|15|0|0|
68|504|15|0|0|
