id|rdxc_id|code|district|valid_since|is_deleted|is_new_rda|has_replacement|migration_district
1|1|AB-01|deleted||1|0|1|ZK-37
2|1|AB-02|deleted||1|0|1|ZK-38
3|1|AB-03|deleted||1|0|1|ZK-39
4|2|AD-01|MAIKOP||0|0|0|
5|2|AD-02|ADYGEYSK||0|0|0|
6|2|AD-03|GIAGINSKY AREA||0|0|0|
7|2|AD-04|KOSHEKHABLSKY AREA||0|0|0|
8|2|AD-05|KRASNOGVARDEISKY DISTRICT||0|0|0|
9|2|AD-06|MAIKOPSKY AREA||0|0|0|
10|2|AD-07|TAKHTAMUKAYSKY AREA||0|0|0|
11|2|AD-08|TEUCHEZHSKY AREA||0|0|0|
12|2|AD-09|SHOVGENOVSKY AREA||0|0|0|
13|3|AL-01|ZHELEZNODOROZHNY DISTRICT of BARNAUL||0|0|0|
14|3|AL-02|INDUSTRIAL DISTRICT of BARNAUL||0|0|0|
15|3|AL-03|LENINSKY DISTRICT of BARNAUL||0|0|0|
16|3|AL-04|OKTYABRSKY DISTRICT of BARNAUL||0|0|0|
17|3|AL-05|CENTALNY DISTRICT of BARNAUL||0|0|0|
18|3|AL-06|deleted||1|0|0|
19|3|AL-07|deleted||1|0|0|
20|3|AL-08|RUBTSOVSK||0|0|0|
21|3|AL-09|SLAVGOROD||0|0|0|
22|3|AL-10|YAROVOYE||0|0|0|
23|3|AL-11|ALEYSKY AREA||0|0|0|
24|3|AL-12|ALTAISKY AREA||0|0|0|
25|3|AL-13|BAYEVSKY AREA||0|0|0|
26|3|AL-14|BIYSKY AREA||0|0|0|
27|3|AL-15|BLAGOVESHCHENSK AREA||0|0|0|
28|3|AL-16|BURLINSKY AREA||0|0|0|
29|3|AL-17|BYSTROISTOKSKY AREA||0|0|0|
30|3|AL-18|VOLCHIKHINSKY AREA||0|0|0|
31|3|AL-19|EGORYEVSKY AREA||0|0|0|
32|3|AL-20|ELTSOVSKY AREA||0|0|0|
33|3|AL-21|ZAVYALOVSKY AREA||0|0|0|
34|3|AL-22|ZALESOVSKY AREA||0|0|0|
35|3|AL-23|ZARINSKY AREA||0|0|0|
36|3|AL-24|ZMEINOGORSKY AREA||0|0|0|
37|3|AL-25|ZONALNYJ AREA||0|0|0|
38|3|AL-26|KALMANSKY AREA||0|0|0|
39|3|AL-27|KAMENSKY AREA||0|0|0|
40|3|AL-28|KLYUCHEVSKY AREA||0|0|0|
41|3|AL-29|KOSIKHINSKY AREA||0|0|0|
42|3|AL-30|KRASNOGORSK AREA||0|0|0|
43|3|AL-31|KRASNOSHCHEKOVSKY AREA||0|0|0|
44|3|AL-32|KRUTIKHINSKY AREA||0|0|0|
45|3|AL-33|KULUNDINSKY AREA||0|0|0|
46|3|AL-34|KURYINSKY AREA||0|0|0|
47|3|AL-35|KYTMANOVSKY AREA||0|0|0|
48|3|AL-36|LOKTEVSKY AREA||0|0|0|
49|3|AL-37|MAMONTOVSKY AREA||0|0|0|
50|3|AL-38|MIKHAYLOVSKY AREA||0|0|0|
51|3|AL-39|NEMETSKY NATIONAL AREA||0|0|0|
52|3|AL-40|NOVICHIKHINSKY AREA||0|0|0|
53|3|AL-41|PAVLOVSKY AREA||0|0|0|
54|3|AL-42|PANKRUSHIKHINSKY AREA||0|0|0|
55|3|AL-43|PERVOMAJSKY AREA||0|0|0|
56|3|AL-44|PETROPAVLOVSKY AREA||0|0|0|
57|3|AL-45|POSPELIKHINSKY AREA||0|0|0|
