id|iaru_region_id|name|country_territory
1|1|ALBANIAN AMATEUR RADIO ASSOCIATION (AARA)|Albania
2|1|AMATEURS RADIO ALGERIENS (ARA)|Algeria
3|1|UNIO DE RADIOAFICIONATS ANDORRANS (URA)|Andorra
4|1|FEDERATION OF RADIOSPORT OF THE REPUBLIC OF ARMENIA (FRRA)|Armenia
5|1|OSTERREICHISCHER VERSUCHSSENDERVERBAND (OEVSV)|Austria
6|1|FEDERATION OF RADIO SPORT OF REPUBLIC OF AZERBAIJAN (FRS)|Azerbaijan
7|1|AMATEUR RADIO ASSOCIATION OF BAHRAIN (ARAB)|Bahrain
8|1|BELARUS FEDERATION OF RADIOAMATEURS AND RADIOSPORTSMEN (BFRR)|Belarus
9|1|KONINKLIJKE UNIE VAN DE BELGISCHE ZENDAMATEURS (UBA)|Belgium
10|1|ASOCIJACIJA RADIOAMATERA BOSNE I HERCEGOVINE (ARABiH)|Bosnia & Hercegovina
11|1|BOTSWANA AMATEUR RADIO SOCIETY (BARS)|Bostwana
12|1|BULGARIAN FEDERATION OF RADIO AMATEURS (BFRA)|Bulgaria
13|1|ASSOCIATION DES RADIOAMATEURS DU BURKINA FASO (ARBF)|Burkina Faso
14|1|ASSOCIATION BURUNDAISE DES AMATEURS RADIO ET TELEVISION (ABART)|Burundi
15|1|ASSOCIATION DES RADIO AMATEURS DU CAMEROUN (ARTJ)|Cameroun
16|1|UNION DES RADIOAMATEURS DU CONGO (URAC)|Congo
17|1|ASSOCIATION DES RADIO AMATEURS IVOIRIENS (ARAI)|Cote d'Ivoire
18|1|HRVATSKI RADIOAMATERSKI SAVEZ (HRS)|Croatia
19|1|CYPRUS AMATEUR RADIO SOCIETY (CARS)|Cyprus
20|1|CZECH RADIO CLUB (CRC)|Czech Republic
21|1|ASSOCIATION DES RADIO AMATEURS DU CONGO (ARAC)|Democratic Republic of Congo
22|1|EXPERIMENTERENDE DANSKE RADIOAMATOERER (EDR)|Denmark
23|1|ASSOCIATION DES RADIOAMATEURS DE DJIBOUTI (ARAD)|Djibouti
24|1|EGYPTIAN RADIO AMATEURS SOCIETY FOR DEVELOPMENT (ERASD)|Egypt
25|1|ESTONIAN RADIO AMATEURS UNION (ERAU)|Estonia
26|1|ETHIOPIAN AMATEUR RADIO SOCIETY (EARS)|Ethiopia
27|1|FOROYSKIR RADIOAMATORAR (FRA)|Faroe Islands
28|1|SUOMEN RADIOAMATOORILIITTO ry (SRAL)|Finland
29|1|RADIOAMATERSKI SOJUZ NA MAKEDONIJA (RSM)|Former Yugoslav Republic of Macedonia
30|1|UNION FRANCAISE DES RADIOAMATEURS (REF)|France
31|1|ASSOCIATION GABONAISE DES RADIO AMATEURS (AGRA)|Gabon
32|1|RADIO SOCIETY OF GAMBIA (RSTG)|Gambia
