sas_id|dxcc_id|prefix|name|code|description
1|6|AK|Aleutians East|AK,Aleutians East|Alaska Third Judicial District
2|6|AK|Aleutians West|AK,Aleutians West|Alaska Third Judicial District
3|6|AK|Lake and Peninsula|AK,Lake and Peninsula|Alaska Third Judicial District
4|6|AK|Pribilof Islands|AK,Pribilof Islands|Alaska Third Judicial District
5|6|AK|Denali|AK,Denali|Alaska Fourth Judicial District
6|6|AK|Anchorage|AK,Anchorage|Alaska Third Judicial District
7|6|AK|Bethel|AK,Bethel|Alaska Fourth Judicial District
8|6|AK|Bristol Bay|AK,Bristol Bay|Alaska Third Judicial District
9|6|AK|Dillingham|AK,Dillingham|Alaska Third Judicial District
10|6|AK|Fairbanks North Star|AK,Fairbanks North Star|Alaska Fourth Judicial District
11|6|AK|Haines|AK,Haines|Alaska First Judicial District
12|6|AK|Juneau|AK,Juneau|Alaska First Judicial District
13|6|AK|Kenai Peninsula|AK,Kenai Peninsula|Alaska Third Judicial District
14|6|AK|Ketchikan Gateway|AK,Ketchikan Gateway|Alaska First Judicial District
15|6|AK|Kodiak Island|AK,Kodiak Island|Alaska Third Judicial District
16|6|AK|Matanuska-Susitna|AK,Matanuska-Susitna|Alaska Third Judicial District
17|6|AK|Nome|AK,Nome|Alaska Second Judicial District
18|6|AK|North Slope|AK,North Slope|Alaska Second Judicial District
19|6|AK|Prince of Wales-Outer Ketchikan|AK,Prince of Wales-Outer Ketchikan|Alaska First Judicial District
20|6|AK|Sitka|AK,Sitka|Alaska First Judicial District
21|6|AK|Skagway-Yakutat-Angoon|AK,Skagway-Yakutat-Angoon|Alaska First Judicial District
22|6|AK|Southeast Fairbanks|AK,Southeast Fairbanks|Alaska Fourth Judicial District
23|6|AK|Valdez-Cordova|AK,Valdez-Cordova|Alaska Third Judicial District
24|6|AK|Wade Hampton|AK,Wade Hampton|Alaska Second Judicial District
25|6|AK|Wrangell-Petersburg|AK,Wrangell-Petersburg|Alaska First Judicial District
26|6|AK|Saint Matthew Island|AK,Saint Matthew Island|Alaska Fourth Judicial District
27|6|AK|Yukon-Koyukuk|AK,Yukon-Koyukuk|Alaska Fourth Judicial District
28|6|AK|Northwest Arctic|AK,Northwest Arctic|Alaska Second Judicial District
29|15|AL|Zheleznodorozhny district of Barnaul|AL-01|
30|15|AL|Industrial district of Barnaul|AL-02|
31|15|AL|Leninsky district of Barnaul|AL-03|
32|15|AL|Oktyabrsky district of Barnaul|AL-04|
33|15|AL|Centalny District of Barnaul|AL-05|
34|15|AL|Rubtsovsk|AL-08|
35|15|AL|Slavgorod|AL-09|
36|15|AL|Yarovoye|AL-10|
37|15|AL|Aleysky Area |AL-11|
38|15|AL|Altaisky Area |AL-12|
39|15|AL|Bayevsky Area|AL-13|
40|15|AL|Biysky Area |AL-14|
41|15|AL|Blagoveshchensk Area|AL-15|
42|15|AL|Burlinsky Area|AL-16|
43|15|AL|Bystroistoksky Area|AL-17|
44|15|AL|Volchihinsky Area|AL-18|
